Material,Materialdescription,Price
3200000008    ,CANADA WESTERN RED SPRING 13.5%,13.95
3200000009    ,CANADA WESTERN RED SPRING 12.5%,9.43
3200000010    ,DARK NORTHERN SPRING 15%,0
3200000011    ,DARK NORTHERN SPRING 14.5%,15.68
3200000012    ,DARK NORTHERN SPRING 14%,15.11
3200000013    ,HARD RED WINTER 12%,0
3200000014    ,HARD RED WINTER 11.5%,9.73
3200000015    ,NORTHERN SPRING 14.5%,20.53
3200000016    ,NORTHERN SPRING 14%,13.41
3200000017    ,SOFT WHITE 10.5%,14.31
3200000018    ,UNION WHEAT 12.5%,12.52
3200000019    ,UNION WHEAT 11.5%,0
3200000020    ,UNION WHEAT 10.5%,11.09
3200000021    ,UNION WHEAT 8.8%,9.49
3200000022    ,WESTERN WHITE 10.5%,15.8
3200000023    ,RM-APA-ALPHAAMYLASE,"1,250.59"
3200000024    ,RM-ACB-ASCORBICACID,746.26
3200000025    ,RM-ADC-AZODICARBONAMIDE23%,209.2
3200000026    ,RM-BZP-BENZOYLPEROXIDE,190.19
3200000027    ,RM-GCO-GLUCOSEOXIDASE,"1,297.10"
3200000028    ,RM-HML-HEMICELLULASE,"1,017.55"
3200000029    ,RM-WGT-WHEAT GLUTEN,61.07
3200000030    ,RM-LIP-ENZYME LIPASE,"3,745.00"
3200000031    ,RM-FLOUR ASW,18.35
3200000032    ,RM-CWRS14.5-CANADA WESTERN RED SPRING,17.63
3200000040    ,RM-STA N-NATIVE STARCH,18.68
3200000041    ,RM-STA M-MODIFIED STARCH,35
3200000042    ,RM-RCF-RICE FLOUR,28.89
3200000043    ,RM-CRF-CORN STARCH,52
3200000044    ,RM-NCL R-REFINED SALT,6.05
3200000045    ,RM-SUG R-REFINED SUGAR,26.92
3200000046    ,RM-BKP-BAKING POWDER,75
3200000048    ,RM-CWAD16-CANADIAN WESTERN AMBER DURUM16,17.79
4100000001    ,WHEAT COP («Ñ§),7.5
